price_open,price_high,price_low,price_close,volume_traded,trades_count,time_close,time_open,time_period_start,time_period_end,market_cap
93.25,100.0,93.03,93.10001,390.82722436,55,2013-03-31T23:36:44.0000000Z,2013-03-31T22:07:48.0000000Z,2013-03-31T22:07:00.000000Z,2013-03-31T23:37:00.0000000Z,
93.17,94.0,92.49999,93.79,589.7176000000001,61,2013-04-01T03:24:03.0000000Z,2013-04-01T00:05:39.0000000Z,2013-04-01T00:05:00.000000Z,2013-04-01T03:25:00.0000000Z,
94.06751,94.48,93.55,94.23,89.77737067,14,2013-04-01T07:12:06.0000000Z,2013-04-01T04:23:48.0000000Z,2013-04-01T04:23:00.000000Z,2013-04-01T07:13:00.0000000Z,
94.39986,99.9,94.0,99.9,780.4686119900001,109,2013-04-01T11:58:03.0000000Z,2013-04-01T08:05:39.0000000Z,2013-04-01T08:05:00.000000Z,2013-04-01T11:59:00.0000000Z,
99.62055,105.9,96.3,102.9999,2735.87564192,328,2013-04-01T15:34:08.0000000Z,2013-04-01T12:05:29.0000000Z,2013-04-01T12:05:00.000000Z,2013-04-01T15:35:00.0000000Z,
102.49998,104.5,102.11099,104.01,409.42396224000004,50,2013-04-01T19:59:41.0000000Z,2013-04-01T16:07:37.0000000Z,2013-04-01T16:07:00.000000Z,2013-04-01T20:00:00.0000000Z,
105.5,105.5,102.23099,102.37,314.39094037,65,2013-04-01T23:41:42.0000000Z,2013-04-01T20:29:59.0000000Z,2013-04-01T20:29:00.000000Z,2013-04-01T23:42:00.0000000Z,
102.8,106.0,99.0,102.98,1640.0858765300002,128,2013-04-02T03:54:04.0000000Z,2013-04-02T00:00:11.0000000Z,2013-04-02T00:00:00.000000Z,2013-04-02T03:55:00.0000000Z,
102.99,105.51,101.02,105.3,943.46284558,105,2013-04-02T07:54:32.0000000Z,2013-04-02T04:13:43.0000000Z,2013-04-02T04:13:00.000000Z,2013-04-02T07:55:00.0000000Z,
105.45,108.0399,103.77,107.2,1630.1171012599996,224,2013-04-02T11:53:54.0000000Z,2013-04-02T08:11:24.0000000Z,2013-04-02T08:11:00.000000Z,2013-04-02T11:54:00.0000000Z,
107.8,108.86,107.09988488,108.09999,925.9094208399998,180,2013-04-02T15:42:36.0000000Z,2013-04-02T12:03:06.0000000Z,2013-04-02T12:03:00.000000Z,2013-04-02T15:43:00.0000000Z,
108.60001,115.79983854,108.399,115.7625,2218.32665365,306,2013-04-02T19:59:25.0000000Z,2013-04-02T16:01:15.0000000Z,2013-04-02T16:01:00.000000Z,2013-04-02T20:00:00.0000000Z,
115.36893245,118.3880667,113.51525957,117.98999,1726.93091813,262,2013-04-02T23:54:35.0000000Z,2013-04-02T20:03:06.0000000Z,2013-04-02T20:03:00.000000Z,2013-04-02T23:55:00.0000000Z,
116.57909668,127.0,116.57909668,124.63694215,2269.585523559999,433,2013-04-03T03:58:06.0000000Z,2013-04-03T00:07:29.0000000Z,2013-04-03T00:07:00.000000Z,2013-04-03T03:59:00.0000000Z,
124.00958618,146.88,124.00958618,128.68073493,2415.34362101,479,2013-04-03T07:57:37.0000000Z,2013-04-03T04:00:41.0000000Z,2013-04-03T04:00:00.000000Z,2013-04-03T07:58:00.0000000Z,
129.99,142.0444,128.74836463,138.0,1308.8084476700003,287,2013-04-03T11:52:46.0000000Z,2013-04-03T08:00:28.0000000Z,2013-04-03T08:00:00.000000Z,2013-04-03T11:53:00.0000000Z,
135.0,139.5,130.0,138.60571623,1446.2106136999998,203,2013-04-03T15:50:06.0000000Z,2013-04-03T12:15:55.0000000Z,2013-04-03T12:15:00.000000Z,2013-04-03T15:51:00.0000000Z,
137.6,140.08,101.51088,123.0,4185.76612348,738,2013-04-03T19:56:24.0000000Z,2013-04-03T16:05:09.0000000Z,2013-04-03T16:05:00.000000Z,2013-04-03T19:57:00.0000000Z,
122.9924,135.8,114.05778213,134.95296889,1283.6878487800004,362,2013-04-03T23:59:37.0000000Z,2013-04-03T20:01:12.0000000Z,2013-04-03T20:01:00.000000Z,2013-04-04T00:00:00.0000000Z,
131.77968624,132.96,119.0,130.00992047,1719.2670102299994,340,2013-04-04T03:58:24.0000000Z,2013-04-04T00:02:15.0000000Z,2013-04-04T00:02:00.000000Z,2013-04-04T03:59:00.0000000Z,
130.0,134.99,129.97513944,133.99623549,113.36458505000002,76,2013-04-04T07:14:33.0000000Z,2013-04-04T04:01:17.0000000Z,2013-04-04T04:01:00.000000Z,2013-04-04T07:15:00.0000000Z,
136.0,143.0,131.99,136.091,1759.2268170099999,376,2013-04-04T11:59:51.0000000Z,2013-04-04T08:16:19.0000000Z,2013-04-04T08:16:00.000000Z,2013-04-04T12:00:00.0000000Z,
137.071,137.5,128.0,131.891,1697.0537363400001,324,2013-04-04T15:59:12.0000000Z,2013-04-04T12:12:24.0000000Z,2013-04-04T12:12:00.000000Z,2013-04-04T16:00:00.0000000Z,
132.251,136.7,131.42,134.12,428.8627527000001,180,2013-04-04T19:59:34.0000000Z,2013-04-04T16:00:24.0000000Z,2013-04-04T16:00:00.000000Z,2013-04-04T20:00:00.0000000Z,
134.12,134.12,128.25,132.681,1192.3255122299997,160,2013-04-04T23:50:09.0000000Z,2013-04-04T20:03:07.0000000Z,2013-04-04T20:03:00.000000Z,2013-04-04T23:51:00.0000000Z,
132.75,138.006,131.503,137.385,995.89535713,267,2013-04-05T03:52:59.0000000Z,2013-04-05T00:06:48.0000000Z,2013-04-05T00:06:00.000000Z,2013-04-05T03:53:00.0000000Z,
137.221,139.8,135.3,137.069,610.0019933300002,132,2013-04-05T07:45:43.0000000Z,2013-04-05T04:05:58.0000000Z,2013-04-05T04:05:00.000000Z,2013-04-05T07:46:00.0000000Z,
136.721,138.5,135.399,136.99,950.6926028599999,256,2013-04-05T11:59:17.0000000Z,2013-04-05T08:04:55.0000000Z,2013-04-05T08:04:00.000000Z,2013-04-05T12:00:00.0000000Z,
137.7,144.0,136.74,143.5,1383.9048303299994,294,2013-04-05T15:58:13.0000000Z,2013-04-05T12:01:50.0000000Z,2013-04-05T12:01:00.000000Z,2013-04-05T15:59:00.0000000Z,
140.76,145.0,140.012,144.5,586.4849293100002,100,2013-04-05T19:53:58.0000000Z,2013-04-05T16:00:56.0000000Z,2013-04-05T16:00:00.000000Z,2013-04-05T19:54:00.0000000Z,
143.399,144.45,139.0,140.0,311.2052587,114,2013-04-05T23:59:52.0000000Z,2013-04-05T20:11:42.0000000Z,2013-04-05T20:11:00.000000Z,2013-04-06T00:00:00.0000000Z,
141.0,143.0,140.90200000000004,143.0,146.70825381999998,55,2013-04-06T03:39:53.0000000Z,2013-04-06T00:02:53.0000000Z,2013-04-06T00:02:00.000000Z,2013-04-06T03:40:00.0000000Z,
142.99,144.0,141.611,141.9485,438.05648347,74,2013-04-06T07:56:30.0000000Z,2013-04-06T04:04:33.0000000Z,2013-04-06T04:04:00.000000Z,2013-04-06T07:57:00.0000000Z,
142.01,143.0,141.201,141.201,120.35902922,24,2013-04-06T11:41:57.0000000Z,2013-04-06T08:22:17.0000000Z,2013-04-06T08:22:00.000000Z,2013-04-06T11:42:00.0000000Z,
141.52200000000005,144.0,141.349,142.49,188.08339102000002,49,2013-04-06T15:59:06.0000000Z,2013-04-06T12:02:58.0000000Z,2013-04-06T12:02:00.000000Z,2013-04-06T16:00:00.0000000Z,
142.9,143.65,142.471,143.5,375.61134723,52,2013-04-06T19:55:32.0000000Z,2013-04-06T16:05:50.0000000Z,2013-04-06T16:05:00.000000Z,2013-04-06T19:56:00.0000000Z,
143.501,144.0,142.507,143.99,901.9317985800001,122,2013-04-06T23:57:00.0000000Z,2013-04-06T20:00:02.0000000Z,2013-04-06T20:00:00.000000Z,2013-04-06T23:58:00.0000000Z,
144.0,144.5,143.501,144.26,183.50277002,85,2013-04-07T03:57:40.0000000Z,2013-04-07T00:27:18.0000000Z,2013-04-07T00:27:00.000000Z,2013-04-07T03:58:00.0000000Z,
144.30100000000004,149.0,144.001,148.001,351.87135229000006,86,2013-04-07T07:56:06.0000000Z,2013-04-07T04:10:12.0000000Z,2013-04-07T04:10:00.000000Z,2013-04-07T07:57:00.0000000Z,
147.465,158.0,147.28,157.0,940.120069,223,2013-04-07T11:58:34.0000000Z,2013-04-07T08:01:55.0000000Z,2013-04-07T08:01:00.000000Z,2013-04-07T11:59:00.0000000Z,
156.6,162.75,153.5,158.5,1056.9374622799999,310,2013-04-07T15:56:30.0000000Z,2013-04-07T12:01:51.0000000Z,2013-04-07T12:01:00.000000Z,2013-04-07T15:57:00.0000000Z,
159.96,164.75,157.015,164.0,700.5016275699999,179,2013-04-07T19:55:14.0000000Z,2013-04-07T16:00:49.0000000Z,2013-04-07T16:00:00.000000Z,2013-04-07T19:56:00.0000000Z,
163.5,174.4,160.65,174.4,502.19703602,195,2013-04-07T23:59:49.0000000Z,2013-04-07T20:03:43.0000000Z,2013-04-07T20:03:00.000000Z,2013-04-08T00:00:00.0000000Z,
172.51,175.0,166.69299999999996,173.7,1918.3141448299991,336,2013-04-08T03:59:39.0000000Z,2013-04-08T00:00:46.0000000Z,2013-04-08T00:00:00.000000Z,2013-04-08T04:00:00.0000000Z,
173.9,186.97,171.7999,185.0,525.2800066100003,249,2013-04-08T07:57:05.0000000Z,2013-04-08T04:00:38.0000000Z,2013-04-08T04:00:00.000000Z,2013-04-08T07:58:00.0000000Z,
185.134,191.0,180.0,190.0,1560.6898878999998,302,2013-04-08T11:59:11.0000000Z,2013-04-08T08:02:53.0000000Z,2013-04-08T08:02:00.000000Z,2013-04-08T12:00:00.0000000Z,
189.88,194.57,172.104,181.264,3820.77450232,608,2013-04-08T15:55:45.0000000Z,2013-04-08T12:00:17.0000000Z,2013-04-08T12:00:00.000000Z,2013-04-08T15:56:00.0000000Z,
183.001,193.0,179.937,187.0,1972.41001385,438,2013-04-08T19:59:45.0000000Z,2013-04-08T16:00:47.0000000Z,2013-04-08T16:00:00.000000Z,2013-04-08T20:00:00.0000000Z,
187.005,200.0,184.998,194.5,818.8065178499996,205,2013-04-08T23:49:28.0000000Z,2013-04-08T20:00:01.0000000Z,2013-04-08T20:00:00.000000Z,2013-04-08T23:50:00.0000000Z,
190.51,196.5,188.898,193.2,328.39071268999993,134,2013-04-09T03:57:52.0000000Z,2013-04-09T00:06:30.0000000Z,2013-04-09T00:06:00.000000Z,2013-04-09T03:58:00.0000000Z,
196.5,205.1,190.003,194.5,252.32906330999998,101,2013-04-09T07:53:53.0000000Z,2013-04-09T04:00:26.0000000Z,2013-04-09T04:00:00.000000Z,2013-04-09T07:54:00.0000000Z,
198.0,227.0,194.552,208.668,1472.0444007700003,252,2013-04-09T11:58:20.0000000Z,2013-04-09T08:06:54.0000000Z,2013-04-09T08:06:00.000000Z,2013-04-09T11:59:00.0000000Z,
212.0,235.009,211.99,234.011,1786.7102302799997,355,2013-04-09T15:56:57.0000000Z,2013-04-09T12:00:54.0000000Z,2013-04-09T12:00:00.000000Z,2013-04-09T15:57:00.0000000Z,
