date,open,high,low,close,volume,market_cap
2013-04-29T00:00:00.000000Z,135.928,136.63,133.3,134.401,367.86970684,1386560147.79067
2013-04-29T04:34:00.000000Z,135.55,138.85,135.55,138.21,1807.99480653,1425856042.93234
2013-04-29T08:00:00.000000Z,138.22,148.5,113.42,144.85,3048.00751626,1494358207.21184
2013-04-29T12:01:00.000000Z,145.7,146.4,140,142.567,2373.39299966,1470805429.94526
2013-04-29T16:04:00.000000Z,142.1,144.12,141,142.1,1142.70474794,1465987581.94548
2013-04-29T20:01:00.000000Z,142.6,145.09,142.2,144.21,1564.76604343,1487755588.96804
2013-04-30T00:00:00.000000Z,144.21,146,142.701,145.034,513.94532145,1667139711.35908
2013-04-30T04:25:00.000000Z,144.399,146.49,143.9,145.01,288.44396959,1666863835.68115
2013-04-30T08:04:00.000000Z,144.9,146.6752,144,145.9,271.79987494,1677094225.40432
2013-04-30T12:08:00.000000Z,145.4,145.4,136,137.5,5638.30445288,1580537738.1295
2013-04-30T16:01:00.000000Z,137.5,139.14,133.89,138.8,2088.95834951,1595481004.01727
2013-04-30T20:22:00.000000Z,138.87,141.5,137.595,139.88,1416.81649464,1607895409.52403
2013-05-01T00:03:00.000000Z,139.88,139.88,128.01,135.89,3064.30256871,1562031078.06849
2013-05-01T04:00:00.000000Z,135.92,137,127,129.98,1779.06803289,1494096692.3787
2013-05-01T08:02:00.000000Z,129.39,132.97,128.7,131.15,1092.8661547,1507545631.6777
2013-05-01T12:01:00.000000Z,130.88,131,122.21,123.11,3020.29021991,1415127279.5718
2013-05-01T16:00:00.000000Z,123.2,124.299,105,117.6,13223.07728408,1351790821.84748
2013-05-01T20:01:00.000000Z,117.6,118.75,111.18,113.209,2464.77789477,1301317067.60656
2013-05-02T00:09:00.000000Z,113.5,120,90.414,118.19,776.58010914,1358572765.59655
2013-05-02T04:00:00.000000Z,117.87,127.18,117,122.5,2425.8414728,1408115439.42446
2013-05-02T08:01:00.000000Z,122.5,122.91,105.5,106,3228.99578675,1218450910.84892
2013-05-02T12:00:00.000000Z,106,111,91.0301,103.6,16728.69413305,1190863343.05612
2013-05-02T16:00:00.000000Z,104.05,115,102.56,111.9,4165.91147079,1286270348.33957
2013-05-02T20:03:00.000000Z,113.6,113.6,101.5,104.41,2502.2439192,1200174147.18619
2013-05-03T00:11:00.000000Z,104.72,104.73,91,98.2,4434.24625692,1128791315.5223
2013-05-03T04:00:00.000000Z,97.5,98.777,85,90.8,9450.15785758,1043729648.16115
2013-05-03T08:01:00.000000Z,91.8,95.99,80,90.01,11259.06576468,1034648740.42935
2013-05-03T12:01:00.000000Z,90.51,98.2,90,93.31,4176.38038594,1072581646.14446
2013-05-03T16:00:00.000000Z,92.98,95,90.03,91.32,1365.21255808,1049706954.51626
2013-05-03T20:01:00.000000Z,91.78,100,91.1,95.49,2149.43686408,1097640353.55626
2013-05-04T00:13:00.000000Z,95,96.99,94.46,96.95,182.04594364,1114422790.63022
2013-05-04T04:00:00.000000Z,96.99,103.99,95.66,100.99,2224.81138827,1160861863.08144
2013-05-04T08:00:00.000000Z,100.98,107.5,100.2,106.58,2522.01229934,1225117906.39885
2013-05-04T12:03:00.000000Z,107,115.959,102.2,112.49,6935.32370541,1293052292.08863
2013-05-04T16:00:00.000000Z,112.49,114.809,108,113.23,1997.97287269,1301558458.82475
2013-05-04T20:00:00.000000Z,113.23,116.13,111.111,114.8,1779.19668527,1319605326.08921
2013-05-05T00:00:00.000000Z,114.94,118.9,114.8,117,2007.94016784,1266559507.47994
2013-05-05T04:00:00.000000Z,116.89,120,100,107,4184.37870892,1158306558.12268
2013-05-05T08:01:00.000000Z,108.275,126,108,110.79,935.03515662,1199334425.92908
2013-05-05T12:14:00.000000Z,110.35,116.233,110.34,114.77,1325.42230463,1242419099.77327
2013-05-05T16:05:00.000000Z,116,118,115.1,116.55,2861.04574876,1261688124.75886
2013-05-05T20:00:00.000000Z,116.98,117.48,115.06,116.89,780.87686091,1265368725.03701
2013-05-06T00:02:00.000000Z,116.94,123.8,115.1304,119.95,2889.5391309,1298494127.54033
2013-05-06T04:00:00.000000Z,119.94,123.2,119.4,122.99,1621.11183179,1331403024.14494
2013-05-06T08:01:00.000000Z,122.75,124.3,112.67,122.01,1587.46068149,1320794235.10793
2013-05-06T12:00:00.000000Z,122.7,122.8997,114.1,119.6,1774.59419767,1294705274.31283
2013-05-06T16:01:00.000000Z,120.45,121,106,110.285,3142.39627231,1193867651.98654
2013-05-06T20:00:00.000000Z,111.22,113.95,107.66,110,1849.52539892,1190782442.92986
2013-05-07T00:02:00.000000Z,108.9,111.185,102.55,110.86,2839.19560879,1200092196.57458
2013-05-07T04:01:00.000000Z,110.87,112.23,106.68,110.98,1426.75629144,1201391231.96687
2013-05-07T08:07:00.000000Z,110,112,102.5,104.4,1474.10065069,1130160791.28979
2013-05-07T12:03:00.000000Z,105.2,110.25,98,106.041,5873.03166359,1147925100.27932
2013-05-07T16:04:00.000000Z,106.94,110.25,104.98,108.96,1488.42501161,1179524136.1967
2013-05-07T20:00:00.000000Z,109.5,113.7,108.5,113.49,2042.16774106,1228562722.25554
2013-05-08T00:00:00.000000Z,113.7,115.87,110.52,111.84,2213.08484274,1200874229.20278
2013-05-08T04:05:00.000000Z,111.58,116.98,110,111.7,2236.32694833,1199370988.93018
2013-05-08T08:02:00.000000Z,111.8,113.45,111.5,112.79,812.4526947,1211074788.19547
2013-05-08T12:03:00.000000Z,112,116.38,111.52,114,1927.87276197,1224067079.12301
2013-05-08T16:01:00.000000Z,113.92,115.1,112.64,113.92,527.57280223,1223208084.68152
2013-05-08T20:05:00.000000Z,113.37,114.45,108.23,110.12,1396.00911397,1182405848.71075
2013-05-09T00:00:00.000000Z,109.37,113.18,108.9,111.49,601.18195676,1246784181.83793
2013-05-09T04:00:00.000000Z,111.85,112.68,111,111.6,220.3533691,1248014303.46321
2013-05-09T08:05:00.000000Z,111.505,112.44,110.1,112.44,308.18433297,1257407959.51078
2013-05-09T12:05:00.000000Z,112.559,113.298,111.3,112.48,604.50291811,1257855276.46543
2013-05-09T16:01:00.000000Z,112.461,113.169,112,112.786,969.50208526,1261277251.16847
2013-05-09T20:17:00.000000Z,112.5,112.87,111.2,112.5,137.1590731,1258078934.94275
2013-05-10T00:08:00.000000Z,112.1,113.1,111.4,113,322.68035969,1263670396.87583
2013-05-10T04:19:00.000000Z,112.9,119.99,112.246,118.7,2854.88248396,1327413062.91293
2013-05-10T08:00:00.000000Z,117.801,122.4,115.9,120.5,1787.0486178,1347542325.87202
2013-05-10T12:03:00.000000Z,120.927,122.5,116.7,118.9,1762.35496915,1329649647.68616
2013-05-10T16:02:00.000000Z,117.781,118.96,116.75,117.76,757.64071724,1316901114.47874
2013-05-10T20:00:00.000000Z,118.4,119.36,116,118.38,243.5376089,1323834527.27576
2013-05-11T00:02:00.000000Z,118.38,118.9,115.1,116.3,749.32098728,1300574045.63415
2013-05-11T04:36:00.000000Z,116.001,116.13,113,115.54,661.77294421,1292075023.49587
2013-05-11T08:02:00.000000Z,115.539,118.89,115,118.15,557.7650905,1321262454.78654
2013-05-11T12:06:00.000000Z,117.389,118.24,115.1,115.1,230.6086981,1287154536.99476
2013-05-11T16:18:00.000000Z,115.1,116.25,112.72,114,1404.15767032,1274853320.74199
2013-05-11T20:36:00.000000Z,114.9,115.66,114,115.02,101.3628202,1286259903.08547
2013-05-12T00:02:00.000000Z,115.5,116.6,114.76,116.6,75.3126963,1303928922.794
2013-05-12T04:00:00.000000Z,116.51,118,115.99,117,939.7536146,1308402092.34046
2013-05-12T08:00:00.000000Z,116.92,116.999,113.22,114.55,608.55709,1281003928.86838
2013-05-12T12:05:00.000000Z,114.5,115.09,113.181,114.2,363.26874494,1277089905.51522
2013-05-12T16:02:00.000000Z,114,116.91,113,115.49,653.3227219,1291515877.30256
2013-05-12T20:07:00.000000Z,115.97,116.3,114.01,116,145.3654769,1297219168.47431
2013-05-13T00:02:00.000000Z,116.35,116.987,114.6,116.899,138.3073611,1307272617.02998
2013-05-13T04:25:00.000000Z,116.699,117.37,115.5,116.155,473.7796561,1298952521.67356
2013-05-13T08:08:00.000000Z,116,118.97,116,117.31,1189.8908157,1311868798.73897
2013-05-13T12:18:00.000000Z,117.25,117.9,116.55,117.724,53.0220306,1316498529.21956
2013-05-13T17:06:00.000000Z,117.5,118.48,114.07,116.59,559.4753903,1303817093.55534
2013-05-13T20:28:00.000000Z,116.59,117.979,114.69,117.2,104.46530381,1310638677.11369
2013-05-14T00:54:00.000000Z,117.5,118.33,115.93,118.19,140.9252726,1321709771.74119
2013-05-14T04:00:00.000000Z,117.543,119,117.5,118.15,395.6072,1321262454.78654
2013-05-14T08:11:00.000000Z,119,119.85,117.3,119.47,1504.27711608,1336023914.28987
2013-05-14T12:01:00.000000Z,119.49,119.7,117.99,119,651.066085,1330767940.07278
2013-05-14T16:20:00.000000Z,119.39,119.39,111,113.68,5600.2296394,1271274785.10482
2013-05-14T20:00:00.000000Z,113.75,114.83,103.45,106.65,4898.12658166,1192658830.32573
2013-05-15T00:00:00.000000Z,106.5,112.54,104.1,112.54,1387.2509876,1224480854.46892
2013-05-15T04:02:00.000000Z,111.45,117,110.999,113.995,2040.7784242,1240311844.72352
2013-05-15T08:22:00.000000Z,112.5,114.24,110.242,111.55,334.6196451,1213709252.85239
2013-05-15T12:10:00.000000Z,113.74,116,110.88,113,515.99769401,1229485841.07862
2013-05-15T16:05:00.000000Z,112.52,113,106.88,107,1413.0416475,1164203407.03905
2013-05-15T20:00:00.000000Z,108.19,114.19,107.001,110.96,648.4157559,1207289813.50517
2013-05-16T00:00:00.000000Z,112,114.56,108.84,108.84,489.01840079,1168151265.43348
2013-05-16T04:00:00.000000Z,109.26,113,108.28,112,217.7090772,1202066719.29943
2013-05-16T08:07:00.000000Z,111.52,113.2602,109.38,113.2602,512.69815634,1215592116.43926
2013-05-16T12:00:00.000000Z,113.2602,114.22,112,113.99,476.0959886,1223424869.04412
2013-05-16T16:04:00.000000Z,113.3,115.2,108.88,111.03,2112.96097522,1191655962.89121
2013-05-16T20:00:00.000000Z,111.5,119.1,109,114,1679.5552107,1223532196.42977
2013-05-17T00:09:00.000000Z,114.01,115.89,112.35,114.03,496.36056517,1223854178.58673
2013-05-17T04:01:00.000000Z,114.03,115.08,113,115.08,84.2211654,1235123554.08016
2013-05-17T08:03:00.000000Z,115.39,116,113.02,114.9,285.84206887,1233191661.13843
2013-05-17T12:13:00.000000Z,116,119.9,114.8,119.9,1452.88430899,1286855353.9643
2013-05-17T16:00:00.000000Z,118.9,122,114.34,114.6,1487.87665387,1229971839.56888
2013-05-17T20:06:00.000000Z,115,117.89,115,117,348.7958612,1255730412.12529
2013-05-18T00:00:00.000000Z,117.84,118,116.83,118,219.5196844,1317720779.1417
